error,total num of error occur,pos
make,4016,VERB
person,1888,NOUN
get,3029,VERB
take,2016,VERB
join,1077,VERB
much,1235,ADV
specially,190,ADV
watch,641,VERB
do,1814,VERB
people,544,NOUN
bring,699,VERB
very,2791,ADV
have,2936,VERB
use,559,VERB
well,744,ADV
less,335,ADV
good,1489,ADJ
so,454,ADV
many,516,ADJ
practice,271,VERB
improve,401,VERB
play,375,VERB
too,915,ADV
really,207,ADV
need,229,VERB
go,1193,VERB
know,1380,VERB
image,412,VERB
amount,136,NOUN
ware,57,VERB
various,97,ADJ
here,479,ADV
let,397,VERB
give,633,VERB
common,283,ADJ
lean,426,VERB
see,545,VERB
say,838,VERB
spend,768,VERB
lately,169,ADV
soon,175,ADV
choice,198,NOUN
as well,124,ADV
effect,137,NOUN
learn,473,VERB
loose,186,VERB
help,282,VERB
funny,231,ADJ
big,500,ADJ
maybe,78,ADV
such,42,ADJ
come,1330,VERB
forth,105,ADV
own,79,ADJ
cause,303,VERB
love,148,NOUN
few,219,ADJ
look,371,VERB
early,98,ADV
late,61,ADJ
tell,725,VERB
then,75,ADV
enter,727,VERB
never,159,ADV
usually,44,ADV
assist,66,VERB
yet,286,ADV
travel,891,NOUN
find,463,VERB
absolutely,99,ADV
way,488,NOUN
listen,170,VERB
become,786,VERB
more,402,ADV
contain,102,VERB
cloth,328,NOUN
change,220,VERB
ever,145,ADV
understand,78,VERB
eat,158,VERB
scene,202,NOUN
propose,52,VERB
hold,120,VERB
enjoy,122,VERB
just,151,ADV
pass,295,VERB
only,134,ADV
go out,39,VERB
speak,265,VERB
chance,161,NOUN
shot,34,VERB
favorite,51,VERB
show,213,VERB
thing,312,NOUN
shool,207,NOUN
dress,52,NOUN
keep,311,VERB
raise,93,VERB
trouble,657,NOUN
work,469,NOUN
introduce,87,VERB
significant,62,ADJ
entry,108,NOUN
meet,790,VERB
therefore,82,ADV
food,53,NOUN
gentle,69,ADJ
read,69,VERB
most,118,ADV
dairy,635,NOUN
web site,200,NOUN
thereby,27,ADV
solve,192,VERB
fall,345,VERB
lose,232,VERB
test,289,NOUN
cheap,50,ADJ
fine,80,ADJ
offer,79,VERB
pronounce,87,VERB
method,86,NOUN
view,109,NOUN
either,89,ADV
strong,158,ADJ
request,75,NOUN
set,136,VERB
win,135,VERB
perform,75,VERB
actual,57,ADJ
country,100,NOUN
cost,102,NOUN
remind,105,VERB
stare,108,VERB
present,91,VERB
sale,94,NOUN
rise,120,VERB
deep,58,ADV
almost,62,ADV
cheep,64,VERB
target,165,VERB
interesting,124,ADJ
loss,52,NOUN
furthermore,11,ADV
weight,28,NOUN
bough,28,NOUN
little,323,ADJ
wright,55,NOUN
lower,29,VERB
rally,32,NOUN
usual,121,ADJ
quite,119,ADV
produce,31,VERB
exercise,30,VERB
lay,112,VERB
fast,55,VERB
brake,55,NOUN
especially,19,ADV
cure,23,VERB
practise,71,VERB
source,68,NOUN
more hard,65,ADV
ward,64,NOUN
increase,65,NOUN
clear,65,ADJ
participate,60,VERB
restraint,10,NOUN
fault,60,NOUN
winne,10,VERB
famous,56,ADJ
prepare,100,VERB
live,494,VERB
important,517,ADJ
explain,87,VERB
last,97,ADJ
guy,94,NOUN
act,90,VERB
large,145,ADJ
rank,16,NOUN
stuff,277,NOUN
forget,50,VERB
recently,137,ADV
recent,34,ADJ
oversea,35,NOUN
collage,263,NOUN
put,249,VERB
feel,236,VERB
reach,271,VERB
straightly,13,ADV
extra,13,ADJ
bad,173,ADJ
possess,15,VERB
mean be,14,VERB
manger,14,NOUN
enhance,38,VERB
move,189,VERB
try,188,VERB
conductor,15,NOUN
teach,161,VERB
great,303,ADJ
gene,10,NOUN
buy,78,VERB
wide,40,ADV
wear,80,VERB
melancholic,15,ADJ
dose,128,VERB
anywhere,51,ADV
rich,80,ADJ
start,163,VERB
thus,38,ADV
place,155,NOUN
occur,86,VERB
breath,85,NOUN
application,86,NOUN
ride,129,VERB
mount,40,VERB
ready,40,ADJ
drunk,46,ADJ
unluckily,44,ADV
several,42,ADJ
answer,61,VERB
county,174,NOUN
deeply,43,ADV
huge,63,ADJ
quality,10,NOUN
media,67,NOUN
condition,67,NOUN
life style,45,NOUN
age,70,NOUN
deliberately,13,ADV
far,165,ADV
remain,52,VERB
reserve,18,VERB
develop,34,VERB
however,23,ADV
exchange,26,NOUN
very much,23,ADV
fee,60,NOUN
enterprise,41,NOUN
fill,61,VERB
totally,42,ADV
happen,170,VERB
order,15,NOUN
approach,15,NOUN
original,15,ADJ
strongly,108,ADV
user,36,NOUN
interchange,20,NOUN
worthy,111,ADJ
also,109,ADV
moreover,30,ADV
about,21,ADV
pain,30,NOUN
school 's,21,NOUN
somewhere,21,ADV
language,238,NOUN
manner,54,NOUN
